"Energy production, per person (toe)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Ecuador,,,,,,,,,,,,0.000225058,0.000836923,0.00182556,0.001527005,0.001370852,0.001524529,0.001465227,0.001541447,0.001539722,0.001476843,0.001473403,0.001420689,0.001582221,0.001686912,0.001757634,0.001762191,0.0011045,0.001747307,0.001598873,0.001605547,0.001647187,0.001711394,0.00179763,0.001923201,0.001943633,0.001889842,0.001866238,0.001792691,0.001765143,0.001834885,0.001831473,0.001738896,0.00182546,0.002218762,0.002191192,0.002191271,0.002087759,0.002030824,0.001915922,
Egypt,,,,,,,,,,,,0.00044505,0.000321142,0.000256088,0.00022494,0.00033023,0.000447656,0.000550854,0.000645311,0.000660607,0.000744755,0.00078558,0.000797319,0.000845326,0.000949619,0.001010817,0.0009224,0.001002098,0.000949623,0.000962712,0.000965269,0.000958235,0.000958567,0.00099601,0.000969988,0.000963646,0.000929419,0.000898567,0.000875835,0.000892594,0.0008344,0.000827497,0.000867608,0.000901149,0.000887662,0.001036471,0.001055158,0.001069365,0.001117,0.001106251,
El Salvador,,,,,,,,,,,,0.00032706,0.000328669,0.000329741,0.000336647,0.000368768,0.000439572,0.000445221,0.000465551,0.0004487,0.000410727,0.000454106,0.00046876,0.000439851,0.000442695,0.000401955,0.000326189,0.00035109,0.000316319,0.000314638,0.000317368,0.000317282,0.000317941,0.000310514,0.000309504,0.000312403,0.000314675,0.00031693,0.000314651,0.000338785,0.000356797,0.000382927,0.000387644,0.000398559,0.000396696,0.000411446,0.000433076,0.000475402,0.000507348,0.000513672,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000222209,0.000222452,0.000222066,0.00022736,0.000231517,0.000233645,0.000140501,0.000140145,0.000138456,0.000139351,0.000137762,0.000135973,0.000111547,0.000111404,0.000110775,0.000110429,0.000110276,0.000110145,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00345404,0.003052506,0.002915278,0.002161507,0.00232547,0.002232463,0.002642397,0.00262338,0.002332407,0.002168248,0.002320453,0.00232604,0.002487535,0.002889266,0.00275123,0.002874146,0.002787223,0.003282496,0.003148218,0.003098239,0.003651708
Ethiopia,,,,,,,,,,,,0.000272951,0.000272194,0.00027171,0.000272085,0.000273647,0.000276599,0.000280619,0.000285066,0.000288951,0.000291591,0.000292695,0.000292706,0.000291821,0.000290621,0.000289281,0.000288643,0.00028842,0.000288618,0.000289214,0.000290733,0.000290761,0.000290825,0.000273762,0.000272954,0.000271755,0.000270407,0.000268848,0.000269805,0.000268844,0.000267922,0.000267656,0.000267152,0.00026704,0.00026706,0.000267324,0.000267875,0.00037006,0.000372341,0.000374108,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,0.001194606,0.001232113,0.001236974,0.001191717,0.001184857,0.001192735,0.001193537,0.001182354,0.001133571,0.001094947,0.001084546,0.001077965,0.001050083,0.001046065,0.001062642,0.000927422,0.000880041,0.00106696,0.001124337,0.001350567,0.001446276,0.001867005,0.002091786,0.002097124,0.002158006,0.002116615,0.002300366,0.002165358,0.002263509,0.002345144,0.002422739,0.002229839,0.002407584,0.002333725,0.00255571,0.002576338,0.002656194,0.002926436,0.002637816,0.002983898,0.002913559,0.002909768,0.003094579,0.003073167,0.003024002,0.003176853,0.003454336,0.003050134,0.003105916,0.003098917,0.003197409
France,0.00099142,0.000952677,0.000952192,0.000894753,0.000950202,0.000943327,0.000932146,0.000893187,0.000822465,0.000821493,0.00098678,0.000930542,0.00090844,0.000849806,0.000808023,0.000826875,0.000775982,0.0008363,0.000855555,0.000891866,0.000976243,0.001181682,0.001168114,0.001334666,0.001546835,0.001688082,0.001796633,0.001857067,0.001859925,0.001936772,0.001972712,0.002080585,0.002101374,0.002201466,0.00214784,0.002210152,0.002270222,0.00220941,0.002144131,0.00216418,0.002215181,0.002224599,0.002244832,0.002257224,0.002261545,0.00224676,0.002235774,0.002191109,0.002210556,0.002073846,0.002162767
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,,0.011956617,0.012697172,0.015279817,0.019247112,0.020061239,0.019392568,0.018856927,0.017305957,0.016438714,0.013830183,0.011872973,0.011862477,0.011529166,0.011279401,0.011882992,0.011145198,0.010233533,0.01013628,0.012403549,0.015747614,0.016602324,0.016001476,0.016439376,0.017510154,0.018179355,0.017809436,0.017540772,0.01626975,0.014280046,0.012257306,0.011421834,0.010941851,0.011473153,0.011243067,0.010899847,0.009687686,0.009683239,0.009315025,0.009195776,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000386356,0.000306841,0.000278993,0.000338761,0.000199844,0.000236768,0.000323011,0.000292655,0.000283524,0.000276536,0.000279324,0.000269925,0.000287253,0.000301314,0.000285057,0.000219056,0.00020912,0.000243545,0.000245452,0.000287716,
Germany,0.001720273,0.00172233,0.001717453,0.001737971,0.001747195,0.001659917,0.001562311,0.0014314,0.001462595,0.001497555,0.002234794,0.002234843,0.002188222,0.002182984,0.002200802,0.002188309,0.002213405,0.002205047,0.002226777,0.00232297,0.002371034,0.002461634,0.002476895,0.002439105,0.00254504,0.002694512,0.00257208,0.002558873,0.002585176,0.002549748,0.002353617,0.002112988,0.002033327,0.001878244,0.001780967,0.001770141,0.001742763,0.001743998,0.00165111,0.001665904,0.001643446,0.00163505,0.001631871,0.001647079,0.001672186,0.001639828,0.001652646,0.001666757,0.001619068,0.001542246,0.001569782
Ghana,,,,,,,,,,,,0.000262284,0.000269749,0.00027825,0.000285091,0.000284516,0.000288223,0.000292753,0.000289222,0.000300741,0.000302586,0.000300279,0.00029395,0.000273303,0.000267458,0.000275974,0.000286023,0.000289493,0.000291986,0.000296394,0.000296862,0.000304776,0.000308838,0.000308786,0.000309705,0.000309032,0.000310483,0.000310399,0.000296112,0.000301366,0.000306994,0.000305372,0.000297673,0.00029194,0.000296692,0.000296894,0.000295531,0.000286957,0.000294806,0.000295808,
Gibraltar,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
